,name
0,Acquired_absence
1,Acquired_claw_foot
2,Acquired_bronchoesophageal_fistul
3,Anastomosis
4,Corn_of_toe
5,Joint_Loose_Bodies
6,Loose_body_in_knee
7,Acquired Abnormalities
8,Acquired_web
9,Amputated_structure__morphologic_abnormality_
10,Amputation_Stumps
11,Arteriovenous_graft
12,Chronic_superficial_ulcer
13,Complete_obstruction
14,Complete_or_partial_transection__morphologic_abnormality_
15,Deformity_of_bone____acquired_
16,Disintegration__morphologic_abnormality_
17,Fenestration__morphologic_abnormality_
18,Fibrous_adhesion
19,Foot_callus
20,Internal_hemorrhoids_grade_IV
21,lacune
22,Linear_atrophy
23,Maturation_defect
24,Microembolus
25,Muscle_damage
26,Postoperative_adhesion
27,Seed_corn
28,Senile_Plaques
29,Superficial_ulcer
30,Surgical_incision_wound__morphologic_abnormality_
31,Surgically_Created_Resection_Cavity
32,Third_degree_uterine_prolapse
33,Acquired_deformity
