,name
0,Amino_Acid_Sequence
1,aminoacid_sequence_of_protein
2,A_Loop
3,AAA_Domain
4,Armadillo_Repeat
5,Catalytic_Domain
6,Homologous_Sequences__Amino_Acid
7,Ligand_Binding_Domain
8,Low_Complexity_Region
9,Membrane_Localization_Motif
10,Phosphotyrosine_Binding_Domain
11,Post_Translational_Modification_Site
12,Protein_Binding_Motif
13,Protein_Domain
14,Protease_Domain
15,Repetitive_Sequences__Amino_Acid
16,SET_Domain
17,Signal_Peptides
18,Substrate_Interaction_Domain
19,Sushi_Domain
20,Walker_Motifs
