,name
0,Adaptation
1,additive_drug_interaction
2,Anabolism
3,biologic_segmentation
4,biological_control
5,Biological_Processes
6,Biologic_Function
7,Biophysical_Processes
8,circulatory_system_development
9,endoplasmic_reticulum_localization
10,entry_into_host
11,establishment_and_maintenance_of_localization
13,Para_5
14,Regulation_of_biological_process
23,Whiteout
24,Actual_Effective_Response_to_Medication
25,anatomy_and_physiology
26,antagonistic_drug_interaction
27,biological_signaling
28,dose_response_relationship
29,drug_potency
30,Drug_Potentiation
31,Drug_resistance
32,Drug_Resistance__Neoplasm
33,esophagus_development
34,Evolution__Molecular
35,genitalia_development
36,female_genitalia_development
37,Germination
38,Heredity_aspects
39,Homeostasis
40,Inactivator_chemotaxis__function_
41,Ingestion
42,intermediate_density_lipoprotein_particle_clearance
43,light_adverse_effect
44,light_effects
45,local_drug_effect
46,localization_of_cell
47,Motor_function
48,nitric_oxide_storage
49,Pharmacodynamics
50,Pharmacological_drug_effects
51,Pharmacological_Phenomena
52,Physiological_reperfusion
53,Process_of_secretion
54,protective_drug_effect
55,radiation_recovery
56,regulation_of_anatomical_structure_morphogenesis
57,regulation_of_intracellular_transport_of_viral_material
58,regulation_of_signaling
59,Regurgitation___mechanism
60,Resistance_to_infection
61,respiratory_gaseous_exchange_in_organisms
62,response_to_radiation
63,response_to_temperature_stimulus
64,ripening
65,Serologic_titer
66,sequestering_of_metal_ion
67,small_intestinal_transit
68,small_molecule_biosynthetic_process
69,suckling_behavior
70,synergistic_drug_interaction
71,system_development___biological
72,systemic_drug_effect
73,taxis_response
74,tolerance_induction
75,Toxicological_Phenomena
76,Tumor_Immunology
77,viral_process
78,Viral_resistance
79,Virus_Activation
80,Virus_Internalization
