,name,site,list
0,Plantar_part_of_right_foot,c,['Right sole']
1,Lambda__Sutural_junction_,c,['Lambda']
2,Triple_energizer_acupuncture_point_TE1,c,['TE1']
3,Level_of_the_sixth_thoracic_vertebra,c,['Tlevel']
4,Spleen_acupuncture_point_SP8,c,['SP8']
5,Level_of_the_first_thoracic_vertebra,c,['Tlevel']
6,Surface_of_cervix,d,['surface expression']
7,Structure_of_waist__surface_region_,c,['WAIST']
8,Oral_region,c,['Os']
9,Rostromedial_auditory_cortex,c,['RM']
10,L2_innervation,c,['L2']
11,L3_innervation,c,['L3']
12,Peripheral_zone_of_prostate,c,['Peripheral Zone']
13,Back,c,"['BACK', 'backs']"
14,Shin,c,['SHIN']
15,ORB_tumour_staging_notation,c,['ORB']
16,Segment_of_palm,c,['Region of palm']
17,Structure_of_subregion_of_head,d,"['globular head ', 'head group']"
18,Structure_of_subregion_of_head,c,['Region of head']
19,Hepatic,c,['Portal']
20,Surface_of_back,c,['Back surface']
21,Gallbladder_acupuncture_point_GB1,c,['GB1']
22,Midclavicular_line_of_trunk,c,['Mammary line']
23,Middle_region_of_body,c,['Middle of body']
24,Brodmann_area_18,c,['V2']
25,T5_innervation,c,['T5']
26,Structure_of_left_upper_quadrant_of_abdomen,c,"['LUQ', 'Left Upper Quadrant']"
27,SP9___spleen_acupuncture_point,c,['SP9\t']
28,Gallbladder_acupuncture_point_GB2,c,['GB2']
29,Thoracic_region__surface_region_of_back_,c,['Posterior region']
30,Greater_curvature_of_stomach,c,['Greater Curvature']
31,Brodmann_area_46,c,['BA46']
32,S5_innervation,c,['S5\t']
33,Level_of_the_twelfth_thoracic_vertebra,c,['Tlevel']
34,Liver_Acinus_Zone_3,c,"['Zone 3', 'Centrilobular Zone']"
35,Surface_of_forehead,c,['Forehead surface']
36,Occlusal_surface_of_tooth,c,['Occluded surface']
37,T6_innervation,c,['T6']
38,Gallbladder_acupuncture_point_3,c,['GB3']
39,Structure_of_left_lower_quadrant_of_abdomen,c,"['LLQ', 'Left Lower Quadrant']"
40,Level_of_the_fourth_cervical_vertebra,c,"['clevels', 'Clevel']"
41,Morphological_facial_height_line,c,['Facial height']
42,Surface_of_intestine,d,['cell-surface']
43,Cusp__anatomic_,c,['Cusp']
