,name
0,Body Site Modifier - Lower
1,Anatomic_Border
2,Anatomic_Site
3,Anatomical_coordinate
4,Anatomical_line_of_skin
5,anatomical_pole
6,Anatomical_site_notation_for_tumour_staging_PLE
7,Back_structure__excluding_neck
8,Back_structure__including_back_of_neck
9,Body_Site_Modifier___Lower
10,C8_innervation
11,Caudal
12,Central_Pattern_Generators
13,Central_zone_of_prostate
14,Cephalometric_menton_point
15,Cephalometric_point_A
16,Cephalometric_point_B
17,Deep_part_of_organ
18,Distal_zone_of_arm
19,First_ray
20,Flank__surface_region_
21,Hypothenar_eminence
22,Inferior_orbital_margin
23,Lead_site_V1
24,Lead_site_V2
25,Lead_site_V3
26,Lead_site_V6
27,Organ_portion
28,Organ_zone
29,OSS_tumor_staging_notations
30,OTH_tumor_staging_notation
31,PUL_anatomical_site_notation_for_tumour_staging
32,Radiation_Field
33,Sagittal_plane
34,Set_of_cleavage_lines
35,Structure_of_articular_surface_of_bone
36,Structure_of_multiple_topographic_sites
37,Surface_of_organ
38,Surface_of_tissue
39,Surface_topography
40,Target_vessel
41,Targeted_Anatomic_Site
42,Temporal_region
43,Test___temporal_region
44,Thenar_eminence
45,THO_tumor_staging_notation
46,Topography_unknown
47,Transitional_Region
48,Trigger_point
49,Trunk_structure
50,Unknown_primary_neoplasia_site
51,Unspecified_Anatomic_Sites
52,Vertex
53,Body_Regions
54,Donor_site
