,name
0,24_hour_urine_sample
1,Block_Specimens
2,Acute_phase_serum_specimen
3,Amniotic_fluid_specimen
4,Aqueous_humor_sample
5,Arterial_blood_specimen
6,Ascitic_fluid_sample
7,Biospecimen
8,Blood_specimen
9,Blood_specimen_from_blood_donor
10,Bronchial_Specimen
11,Burn_Specimen
12,Capillary_blood_specimen__specimen_
13,Catheter_specimen
14,Cerebrospinal_fluid_sample
15,Cervical_secretion_sample
16,Cervical_smear_sample
17,Cervical_swab__specimen_
18,Cloacal_swab__specimen_
19,Colostrum_Specimen
20,Conjunctival_specimen
21,Conjunctival_swab__specimen_
22,Convalescent_phase_serum_specimen
23,Cord_blood_specimen
24,Core_Specimen
25,Crystal___human_material
26,Curettings__specimen_
27,Cyst_fluid_sample
28,Cytologic_material__specimen_
29,Discharge__Body_Substance__Sample
30,Dried_Specimen
31,Dried_blood_specimen
32,Dried_blood_spot_specimen
33,Ear_Wax_Specimen
34,Early_morning_urine_sample
35,Effusion_sample
36,Eluate_specimen
37,Endocardium_Specimen
38,Endocervical_brush__specimen_
39,Endometrium_Specimen
40,Erythrocyte_specimen
41,Eye_Specimen
42,Fecal_smear__specimen_
43,Fetal_blood_specimen
44,Fixed_Specimen
45,Fluid_specimen
46,Fresh_Specimen
47,Gastric_aspirate_sample
48,Gastric_fluid_sample
49,Gastric_lavage_aspirate_sample__specimen_
50,Genital_fluid_Specimen
51,Hair_Specimen
52,Hematological_sample
53,Human_breast_milk_specimen
54,Interstitial_fluid_specimen
55,Lymph_node_sample
56,Lymph_sample
57,Lymphocyte_specimen
58,Meconium_specimen
59,Menstrual_blood_specimen
60,Metastatic_Tumor_Sample
61,Mid_stream_urine_sample_specimen
62,Mothers_milk_specimen
63,Mucus_sample
64,Nail_Specimen
65,Nasal_swab__specimen_
66,Nasopharyngeal_swab__specimen_
67,Nasopharyngeal_washings__specimen_
68,Ophthalmological_sample
69,Oral_cavity_sample
70,Oral_fluid_specimen
71,Oral_mucosal_transudate_sample
72,Oral_swab__specimen_
73,Pathology_specimen
74,Peripheral_blood_specimen
75,Peritoneal_fluid_sample
76,Placenta_Specimen
77,Pleural_fluid_specimen
78,Prostatic_fluid_sample
79,Rectal_swab__specimen_
80,Respiratory_sample
81,Saliva_specimen
82,Scrapings__specimen_
83,Seminal_fluid_specimen
84,Seminal_plasma_specimen
85,Serum_specimen_from_blood_donor
86,Skin_Specimen
87,kin_swab__specimen_
88,Smear_sample
89,Solvent_detergent_treated_pooled_plasma__human
90,pecimen_Type___Abscess
91,Specimen_Type___Bile_fluid
92,Specimen_Type___Blood_arterial
93,Specimen_Type___Blood_venous
94,Specimen_Type___Genital
95,Specimen_Type___Genital_cervix
96,Specimen_Type___Genital_vaginal
97,Specimen_Type___Macrophages
98,Specimen_Type___Menstrual_blood
99,Specimen_Type___Polymorphonuclear_neutrophils
100,Specimen_Type___Serum
101,Specimen_Type___Sputum___coughed
102,Specimen_Type___Stool_=_Fecal
103,Specimen_Type___Thrombocyte__platelet_
104,Specimen_Type___Tissue_placenta
105,Specimen_Type___Tissue_ulcer
106,Specimen_Type___Whole_body
107,Specimen_Type___Wound_exudate
108,Specimen_component
109,Specimen_from_ear_obtained_by_aspiration
110,Specimen_from_endotracheal_tube
111,Specimen_from_esophagus
112,Specimen_from_gastrointestinal_tract
113,Specimen_from_lung_obtained_by_bronchial_washing_procedure
114,Specimen_from_trachea_obtained_by_aspiration__specimen_
115,Specimen_obtained_by_fine_needle_aspiration_procedure
116,Spot_urine_sample
117,Sputum_specimen
118,Suprapubic_aspirate_sample
119,Swab_from_buccal_mucosa__specimen_
120,Synovial_fluid_specimen
121,Synovial_sample
122,Tears___SpecimenType
123,Throat_swab_sample
124,Tissue_scrapings__specimen_
125,Transtracheal_aspirate_sample
126,Transudate_sample
127,Upper_respiratory_sample
128,Urine___SpecimenType
129,Urine_clean_catch_specimen
130,Urine_sediment___SpecimenType
131,Venous_blood_specimen
132,Venous_cord_blood_specimen
133,Vitreous_humor_sample
134,Vulval_swab__specimen_
135,White_blood_cell_sample
136,Whole_blood_sample
137,Wound_drainage_specimen
138,curettage_specimen
139,serumplasma
140,uterine_swab_specimen
141,whole_blood_specimen
142,Lamella___SpecimenType
143,Saliva___SpecimenType
144,Seminal_plasma___SpecimenType
145,Curds
146,Fragments
147,Fresh_frozen_plasma
148,Hyaline
149,In_Blood
150,Normal_plasma
151,not_otherwise_specified
152,Plasma
153,Tissue_Scroll
154,Total_Tissue
155,specimen
156,Matrix substance
157,Mucous body substance
158,Plasma specimen
159,Skin swab (specimen)
160,Bodily secretions
161,Bone marrow specimen
162,Matched Tissues
163,Aged_serum
164,Animal_hide
165,Aspirate_substance
