,name
0,Activities_involving_building_and_construction
1,Activities_involving_sewing
2,Active_physical_exercise
3,Activities_of_Daily_Living__activity_
4,adventure
5,Arising_from_bed
6,Athletics
7,Attend_Paid_Job
8,Basic_activity_of_daily_living
9,Child_Care
10,Climbing
11,Commuting
12,Crafts__activity_
13,daily_activities
14,Daily_Living
15,Dependent_Ambulation
16,Ejection_as_a_Sports_activity
17,Everyday_tasks
18,Exercise_activity
19,Fostering
20,Full_time_employment__activity_
21,game
22,Gliding
23,Infant_Care
24,Jumping
25,knitting
26,Leisure_Activities
27,Leisure_physical_activity
28,Light_Exercise
29,Meal__occasion_for_eating_
30,Moderate_Exercise
31,Normal_diet
32,olympics
33,Part_time_employment__activity_
34,Personal_care_activity
35,Physical_activity
36,Play
37,Reading__activity_
38,reading_aloud
39,Reading_printed_material
40,recreational_activity
41,Regular_exercise__observable_entity_
42,Residential_Selection
43,Rest
44,Self_care_interventions
45,Speaking__activity_
46,sporting_event
47,Sports
48,Squash__Sport_
49,Surfing
50,Taking_medication__activity_
51,tourism
52,Track_and_Field
53,travel
54,Vacation
55,Vacuuming__activity_
56,Warm_Up_Exercise
57,world_series
