,name,site,list
0,ALZHEIMER_DISEASE_19,c,['AD19']
1,Alpers_Syndrome__disorder_,c,"['N AHS', 'AHS']"
2,Alzheimer_Disease_11,c,['AD11']
3,acute_flaccid_myelitis,c,['AFM']
4,Alopecia__Neurologic_Defects__and_Endocrinopathy_Syndrome,c,['ANES']
5,3_beta_Hydroxysteroid_dehydrogenase_deficiency,c,['HSDB']
6,Anemia__Diamond_Blackfan__2,c,['DBA2']
7,Aspartylglucosaminuria,c,['AGU']
8,BESTROPHINOPATHY__AUTOSOMAL_RECESSIVE,c,['ARB']
9,AMYOTROPHY__HEREDITARY_NEURALGIC,c,['HNA']
10,ANEMIA__SIDEROBLASTIC__AND_SPINOCEREBELLAR_ATAXIA,c,"['ASAT', 'N ASAT']"
11,Arthrogryposis__renal_dysfunction__and_cholestasis_1,c,"['ARC syndrome', 'ARCS']"
12,Autoimmune_Lymphoproliferative_Syndrome,c,['ALPS']
13,Anterior_polar_cataract_2,c,['CATARACT 24']
14,Alzheimer_Disease_12,c,"['AD12', 'N AD12']"
15,AL_RAQAD_SYNDROME,c,"['ARS', 'N ARS']"
16,Barts_Hemoglobinopathy,c,['Hb Barts']
17,Alopecia__Androgenetic__2,c,['AGA2']
18,African_swine_fever,c,['ASF']
19,ATYPICAL_MYCOBACTERIOSIS__FAMILIAL__X_LINKED_1__disorder_,c,['IMMUNODEFICIENCY 33']
20,Atelosteogenesis_type_2,c,"['N AO2', 'AO2']"
21,Bohring_syndrome,c,"['BOS', 'N BOS']"
22,Balos_Concentric_Sclerosis,c,['Balo']
23,Atrial_Premature_Complexes,c,['apcs']
24,Auditory_neuropathy_spectrum_disorder,c,['ANSD']
25,B_CELL_EXPANSION_WITH_NFKB_AND_T_CELL_ANERGY,c,['BENTA']
26,ARTHROGRYPOSIS__MENTAL_RETARDATION__AND_SEIZURES,c,['AMRS']
27,Acute_bacterial_endocarditis,c,['abe']
28,Aspergillosis__Allergic_Bronchopulmonary,c,"['ABPA', 'N ABPA']"
