,name
0,academic_test
1,Academic_Training
2,Classroom_Education
3,Cognitively_Based_Compassion_Training
4,Computer_Assisted_Cognitive_Training
5,Computer_Assisted_Instruction
6,computer_training
7,Educational_Guidance
8,Fellowships
9,general_education
10,Group_education
11,head_start
12,Internship
13,Knowledge_acquisition
14,Mainstreaming__Education
15,Medical_Internship
16,Medical_Residencies
17,Mentorships
18,open_universities
19,Outreach
20,Parenting_Education
21,Patient_Simulation
22,peer_education
23,Peritoneal_dialysis_education
24,Pharmacy_Residencies
25,Preceptorship
26,private_education
27,professional_training
28,Programmed_Learning
29,public_education
30,Recommendation_to_exercise
31,Research_Training
32,Residency
33,School_Management
34,science_education
35,Scoring_of_tests
36,Sensitivity_Training_Groups
37,Short_Term_Courses
38,Skills_training
39,Special_Education
40,Teaching_aspects
41,Teaching_how_to_perform_procedure
42,Techniques__Educational
43,Test_Administration
44,Test_Preparation
45,Test_scaling
46,test_validity
47,Traditional_Education
48,Training
49,Training_Activities
50,Training_and_Education
51,Training_Programs
52,Training_Support
53,Training_Techniques
54,Tutoring
55,Vocational_Guidance
56,work_study_program
57,Educational_process_of_instructing
58,Educational_workshop
