,name
0,Child_2
1,Child_3
2,Child_of_subject
3,Child_Relation
4,Extended_Family
5,Family_member
6,family_system
7,Fostered
8,Full_Sibling
9,Great_Relative
10,Head_of_Household
11,Households
12,In_law__relative_
13,Legal_Relative
14,Member_of_large_family
15,Mother_in_law
16,Multiple_Birth_Offspring
17,Nuclear_Family
18,Offspring
19,Only_son
20,parent
21,parent_and_child
22,Partner_in_relationship
23,Paternal_Relative
24,Relative__related_person_
25,Stepmother
26,Unwanted_children
27,Younger_child
28,Family
