,name
0,Accent
1,Animal_feed__substance_
2,Boost_Nutrition_Supplement
3,Clear_fluid
4,Cocktail
5,Compleat_Liquid_Nutrition
6,Date_Fruit
7,Diet
8,Dietary_Fiber
9,Drink__dietary_substance_
10,Enrich__product_
11,Ensure__product_
12,Familiar_food
13,Family_food
14,Fig_Flavor
15,Figs___dietary
16,Food
17,Food_Ingredients
18,food_product
19,Foods__Specialized
20,French_fries
21,frosties
22,Fruit
23,Fruit_Flavor
24,Fudge_Food
25,Gari__substance_
26,Health_food
27,Hominy
28,Infant_Food
29,Jam__dietary_
30,Jelly__food_
31,Limes__dietary_
32,Limpet__Dietary_
33,Liver_Flavor
34,Malt_Grain
35,mead_honey_wine
36,Meat_Flavor
37,Megrim
38,Nutraceuticals
39,Nutrients
40,Nutrients
41,Nuts
42,Orange_flavor
43,Potato_chips
44,product
45,Provide__product_
46,Prunes
47,Rum_Flavor
48,Rutabaga__food_
49,Sage___dietary
50,Saithe__substance_
51,Sake___alcoholic_beverage
52,Scallop___dietary
53,Seafood
54,Sherbet__Dietary_
55,Special_K_Cereal
56,Squash__Food_
57,Stout__substance_
58,Sultanas
59,Thick_fluid
60,Thin_fluid
61,Tomato_sauce
62,Tree_nut
63,Turkey__Poultry__food_
64,Vegetable_marrow
65,Vital_High_Nitrogen_Enteral_Nutrition
66,Whey_Proteins
67,Whiting_Fish__Dietary
