,name,site,list
0,AAVS1_gene,c,['AAV']
1,ABCA1_gene,c,['Tangier disease']
2,ABCA4_gene,c,['FFM']
3,ABCB6_wt_Allele,c,"['LAN', 'PRP']"
4,ABCB7_gene,c,['ASAT']
5,ABCC8_gene,c,"['SUR1', 'HI', 'SUR']"
6,ABHD5_gene,c,['CIB']
7,ABI1_gene,c,['ABI-1']
8,ABITRAM_gene,c,['CG-8']
9,ABR_gene,c,"['ABR', 'MDB']"
10,ABRA_gene,c,['STARS']
11,ACAA1_gene,c,"['THIO', 'PTL']"
12,ACCS_gene,d,['ACCs']
13,ACHE_Gene,c,['YT']
14,ACIN1_gene,c,['ACINUS']
15,ACKR2_wt_Allele,c,['D6']
16,ACOT1_gene,c,"['ACH2', 'CTE-1']"
17,ACOT7_gene,c,['BACH']
18,ACP1_gene,c,['HAAP']
19,ACP4_gene,c,['ACPT']
20,ACP7_gene,c,['PAPL']
21,ACPP_gene,c,['ACP-3']
22,ACRV1_gene,c,['SP-10']
23,ACSBG1_gene,c,['BGM']
24,ACSM3_gene,c,"['SA', 'SAH']"
25,ACTC1_gene,c,['ACTC']
26,ACTG1_gene,c,['ACTG']
27,ACTG2_wt_Allele,c,['ACT']
28,ACVR1_wt_Allele,c,['FOP']
29,ADAM17_gene,c,['TACE']
30,ADAM22_gene,d,['mDC2 cells']
31,ADCY1_gene,c,['AC1']
32,ADCY10_gene,c,['SAC']
33,ADCY2_gene,c,['AC2']
34,ADCY3_gene,c,['AC3']
35,ADCY4_gene,c,['AC4']
36,ADCYAP1_gene,c,['PRP']
37,ADGRL2_gene,c,['CL2']
38,ADGRL4_gene,c,['ETL']
39,ADH7_gene,d,['ADH inhibitor 4-methyl']
40,ADI1_gene,c,"['ARD', 'ADI1']"
41,ADIRF_gene,c,['AFRO']
42,ADK_gene,c,"['ADK', 'AK']"
43,ADM_wt_Allele,c,['AM']
44,ADM2_gene,c,['AM2']
45,AFM_gene,c,['ALBA']
46,AFMID_gene,c,['KF']
47,AGER_gene,c,"['AGER Gene', 'AGER']"
48,AGL_gene,c,['GDE']
49,AGO2_wt_Allele,c,['PPD']
50,AGRN_gene,c,['AGRIN']
51,AGXT_gene,c,['PH1']
52,AHSG_gene,c,['AHS']
53,AIC_gene,c,['AIC']
54,AIDA_gene,d,"['Aida,', 'Nagayoshi-Aida,']"
55,AJAP1_gene,c,['SHREW-1']
56,AKAP13_gene,d,["3' end of HA"]
57,AKAP13_gene,c,['LBC']
58,AKAP4_gene,c,['HI']
59,AKR1B10_gene,c,['HIS']
60,AKR1C1_gene,c,['DD1']
61,AKR1C2_gene,c,['DD2']
62,AKR1C2_wt_Allele,c,['DD-2']
63,AKR1C4_gene,c,['DD4']
64,AKR1E2_gene,c,['HTSP']
65,AKTIP_gene,c,"['FTS', 'FT1']"
66,ALDH7A1_gene,c,['EPD']
67,ALG1_gene,c,['Mat-1']
68,ALLC_gene,c,['ALC']
69,ALOX5AP_gene,c,['FLAP']
70,ALPK2_gene,c,['HAK']
71,ALPK3_gene,c,['MAK']
72,ALYREF_gene,c,['REF']
73,AMACR_gene,c,['P504S']
74,AMACR_wt_Allele,d,"['racial', 'race']"
75,AMELX_gene,c,"['AMG', 'AMELX']"
76,AMER1_gene,c,['WTX']
77,AMH_gene,c,"['AMH', 'MIS']"
78,AMT_gene,c,['AMT']
79,AMY1A_gene,c,"['AMYLASE, SALIVARY']"
80,ANKFY1_gene,c,['RANK-5']
81,ANKH_gene,c,"['ANKH', 'HANK']"
82,ANKHD1_gene,c,['MASK']
83,ANKRD1_gene,c,['C193']
84,ANKRD11_gene,c,['T13']
85,ANKRD12_gene,c,['GAC-1']
86,ANKS1B_gene,c,['EB-1']
87,ANLN_gene,c,['Scraps']
88,ANPEP_wt_Allele,c,['gpGene']
89,ANXA2_gene,c,['Protein I gene']
90,ANXA7_gene,c,"['SNX', 'SYNEXIN']"
91,AOC2_gene,c,['RAO']
92,AP1M2_gene,c,['mu2']
93,AP2M1_gene,c,['MU-2']
94,AP3D1_gene,c,"['ADAPTIN, DELTA']"
95,AP4B1_gene,c,['BETA-4']
96,AP4M1_gene,c,['MU-4']
97,AP5B1_gene,c,['AP-5']
98,AP5M1_gene,c,['MU-5']
99,APBA1_gene,c,['X11']
100,APC_wt_Allele,c,['FPC']
101,APCS_gene,c,['APCS']
102,APELA_wt_Allele,c,['ELA']
103,APEX1_gene,c,"['APE-1', 'REF-1']"
104,APEX1_wt_Allele,d,['ape genotypes']
105,APOBEC1_gene,c,['HEPR']
106,APOBEC3C_gene,c,['PBI']
107,APOBEC3G_wt_Allele,c,['CEM-15']
108,APOL1_gene,c,['APOL1']
109,APOLD1_gene,c,['VERGE']
110,APOM_gene,c,['G3a']
111,APP_wt_Allele,c,"['ABETA','Alzheimer Disease Gene','PN2']"
112,APPL1_gene,c,['APPL']
113,AQP3_gene,c,['GIL']
114,AQR_gene,d,['[aQR']
115,AR_wt_Allele,c,['KD']
116,ARAF_gene,d,"['Araf', 'Araf-', 'T-Araf-', 'alpha-L-Araf-']"
117,ARHGAP11B_gene,c,["B'-T"]
118,ARHGAP26_gene,c,['GRAF']
119,ARHGAP32_gene,c,['GRIT']
120,ARHGAP44_gene,c,['RICH-2']
121,ARHGAP45_gene,c,['HA-1']
122,ARHGAP9_gene,c,['10C']
123,ARHGDIB_gene,c,['D4']
124,ARHGEF12_gene,d,['Larg-Scale']
125,ARHGEF15_gene,c,['E5']
126,ARHGEF40_gene,c,['SOLO']
127,ARHGEF6_gene,c,['Cool-2']
128,ARHGEF7_wt_Allele,d,['cooling']
129,ARID3B_gene,c,['BDP']
130,ARIH1_gene,c,['ARI']
