,name
0,ACETYLSEROTONIN_METHYLTRANSFERASE__X_CHROMOSOMAL_GENE
1,ACHE_Gene
2,ACSL1_Gene
3,AUTONOMOUSLY_REPLICATING_SEQUENCE_1
4,A_11_GENE
5,Adaptor_Signaling_Protein_Gene
6,Alleles
7,Antigen_Gene
8,BAT26
9,BCPR_Gene
10,BCR_ABL_Fusion_Gene
11,BIRC3MALT1_Fusion_Gene
12,BRD4C15orf55_Fusion_Gene
13,CMV_UL38_Gene
14,CYP3A_Gene_Locus
15,C_KIT_Gene
16,CancerTestis_Antigen_Family_47_Gene
17,Cancer_Predisposing_Gene
18,Cancer_Promoting_Genes
19,Cancer_Testis_Antigen_Family_45_Gene
20,Candidate_Disease_Gene
21,Candidate_Tumor_Suppressor_Gene
22,Cell_Adhesion_Molecule_Gene
23,Cell_Cycle_Checkpoint_Genes
24,Chloramphenicol_Acetyl_Transferase_Gene
25,Chromosome_1_Short_Arm
26,Cistron
27,Coagulation_Factor_Gene
28,Cyclic_AMP_Response_Element
29,Cystatin_Superfamily_Gene
30,DNA_Conformation
31,DNA_Repair_Gene
32,EEF1AKNMT_gene__human
33,ETS_Family_Gene
34,Endoribonuclease_Gene
35,Engineered_Gene
36,Epigenome
37,Exome
38,Expression_Quantitative_Trait_Locus
39,F9_EMBRYONIC_ANTIGEN_GENE
40,FA_Complementation_Group_Gene
41,FGG_allelic_variant
42,FOS_Family_Genes
43,Fibroblast_Growth_Factor_Gene_Family
44,Fibroblast_Growth_Factor_Receptor_Family_Gene
45,GAG_Gene
46,GLUTAMATE_TRANSPORTER_EAAC1_ASSOCIATED_PROTEIN
47,G_Protein_Coupled_Receptor_Genes
48,G_Protein_Coupled_Receptor_Kinase_Gene
49,Gene_Clusters
50,Gene_Components
51,Gene_Feature
52,Gene_Mutant
53,Genes
54,Genes__Bacterial
55,Genes__Chloroplast
56,Genes__Developmental
57,Genes__Dominant
58,Genes__Duplicate
59,Genes__Essential
60,Genes__Homeobox
61,Genes__Housekeeping
62,Genes__Immediate_Early
63,Genes__Immunoglobulin
64,Genes__Immunoglobulin_Light_Chain
65,Genes__Insect
66,Genes__Intracisternal_A_Particle
67,Genes__Lethal
68,Genes__MHC_Class_I
69,Genes__MHC_Class_II
70,Genes__Mitochondrial
71,Genes__Modifier
72,Genes__Neoplasm
73,Genes__Overlapping
74,Genes__Plant
75,Genes__Processed
76,Genes__Protozoan
77,Genes__Recessive
78,Genes__Regulator
79,Genes__Reiterated
80,Genes__Reporter
81,Genes__Spliced
82,Genes__Suppressor
83,Genes__Switch
84,Genes__T_Cell_Receptor
85,Genes__Transgenic__Suicide
86,Genes__Viral
87,Genes__X_Linked
88,Genes__Y_Linked
89,Genes__abl
90,Genes__bcl_1
91,Genes__cdc
92,Genes__env
93,Genes__erbB
94,Genes__fms
95,Genes__myb
96,Genes__nef
97,Genes__pX
98,Genes__ras
99,Genes__rev
100,Genes__src
101,Genes__vif
102,Genes__vpr
103,Genes__vpu
104,Genetic_Loci
105,Genetic_Materials
106,Genetic_Structures
107,Genetic_Template
108,Genome
109,Genome_Components
110,Genome__Archaeal
111,Genome__Bacterial
112,Genome__Chloroplast
113,Genome__Fungal
114,Genome__Human
115,Genome__Insect
116,Genome__Microbial
117,Genome__Mitochondrial
118,Genome__Plant
119,Globin_Gene
120,Growth_Factor_Gene
121,Growth_Factor_Receptor_Genes
122,Growth_Suppressor_Genes
123,HELICOBACTER_PYLORI_INFECTION__SUSCEPTIBILITY_TO___56C_T__allelic_variant_
124,HEPATIC_PROTEIN
125,HHV8_K2_Gene
126,HHV8_ORF50_Gene
127,HHV8_ORF59_Gene
128,HHV8_ORF71_Gene
129,HHV8_ORF73_Gene
130,HHV8_ORF74_Gene
131,HLA_locus
132,HOXA@_gene_cluster
133,HOXB@_gene_cluster
134,HOXC@_gene_cluster
135,HOXD@_gene_cluster
136,HRAS1_oncogene
137,HSV_Tk_Gene
138,HTLV_II_tax_Genes
139,HTLV_I_rex_Genes
140,HTLV_I_tax_Genes
141,HUMAN_LEUKOCYTE_ANTIGEN_MIC6
142,H_ras_Genes
143,H_ras_Oncogenes
144,Ha_ras_Genes
145,Ha_ras_Oncogenes
146,Helicase_Gene
147,Histone_H1_Gene
148,Histone_H3_Gene
149,Homeo_Box_Sequence
150,Homologous_Gene
151,Homologous_Recombination_Repair_Gene
152,Human_Adenovirus_Type_5_Early_Region_1
153,Human_Microbiome
154,Human_leukocyte_antigen_A_allele
155,Human_leukocyte_antigen_B_allele
156,Human_leukocyte_antigen_C_allele
157,Human_leukocyte_antigen_DQB1_allele
158,Human_leukocyte_antigen_DRB1_allele
159,IGHD@_gene_cluster
160,IGHJ@_gene_cluster
161,IGHV@_gene_cluster
162,IGKV@_gene_cluster
163,IGLV@_gene_cluster
164,I_region__MHC
165,Immune_reactive_locus
166,Interleukin_12_Gene
167,JUN_Proto_oncogene_Family
168,Jumping_Genes
169,K_ras_Oncogene
170,Ki_ras_Genes
171,Ki_ras_Oncogenes
172,Kinase_Family_Gene
173,LAMP3_Gene
