,name
0,Metaphase_Plate_Congression
1,lysine_tRNA_activity
2,Transcription__Genetic
3,Transcription_Initiation
4,sequenase_activity
5,transcription_antitermination
6,Crossing_Over__Genetic
7,retinoic_acid_responsive_element_binding
8,Mode_of_inheritance
9,DNA_polymerase_processivity_factor_activity
10,RNA_Splicing
11,mRNA_maturation
12,Maternal_Inheritance
13,Mitochondrial_Inheritance
14,RNA_replication
15,nuclear_mRNA_cis_splicing__via_spliceosome
16,photoreactivating_enzyme_activity
17,alkylbase_DNA_N_glycosylase_activity
18,Gene_type
19,RNA_surveillance
20,Mutagenesis_Site_Directed
21,ribonuclease_T2_activity
22,Selective_Breeding
23,Telomere_Length_Maintenance
24,pumilio_response_element_binding
25,AT_DNA_binding
26,RNA_Processing__Post_Transcriptional
27,INDEL_Mutation
28,nuclear_mRNA_surveillance
29,Late_Gene_transcription
30,Gene_Expression
