,name
0,_City__Block
1,Big_Stone_County__MN
2,Bonaire__Sint_Eustatius_and_Saba
3,Border_region
4,Bouvet_Island
5,British_Virgin_Islands
6,Camp_County__TX
7,Community_Parks
8,Coral_Sea_Islands
9,Cos__Greek_island_
10,Country
11,Delaware
12,Delta_County__CO
13,Diego_Garcia
14,District_of_Columbia
15,Dorsetshire
16,Earth__Planet
17,Eastern_District__AS
18,environment
19,Environmental_pool
20,Faeroe_Islands
21,Federated_States_of_Micronesia
22,Floor___story_of_building
23,Floyd_County__GA
24,French_Guiana
25,Galaxies
26,GENC_Entity_1
27,GENC_Entity_2
28,GENC_Entity_3
29,GENC_Entity_5
30,Geographic_canal
31,geographic_canal_zone
32,Geographic_Locations
33,Geographic_state
34,Geographical_continent
35,Gibraltar
36,Heard_Island_and_McDonald_Islands
37,Hendry_County__FL
38,Historical_Geographic_Locations
39,Household_Environment
40,Io_satellite
41,Island_of_Hierro
42,Isle_of_Man
43,Jan_Mayen
44,Jersey_Island
45,Johnston_Atoll
46,Jones_County__GA
47,Juan_de_Nova_Island
48,Moon
49,municipality
50,National_Parks
51,Navassa_Island
52,Near_East
53,Neighborhood
54,Netherlands_Antilles
55,New_England
56,New_Jersey
57,North_Carolina
58,Northeastern_United_States_Census_Region
59,Offaly
60,Orocovis_Municipio__PR
61,Other_Caribbean_Islands
62,Outdoors
63,Palestinian_Territory__Occupied
64,Palmyra_Atoll
65,Paracel_Islands
66,Part_of_Asian_country
67,Part_of_Canada
68,Part_of_country
69,Planet_Mars
70,Post_Office_Box__geographic_area_
71,Primary_Sampling_Unit
72,Red_Willow_County__NE
73,Reunion_Island
74,Rhode_Island
75,Saint_Barthelemy
76,Saint_Helena_Islands
77,Saint_Kitts_and_Nevis
78,San_Marino
79,Satellites__Natural
80,Sint_Maarten__Dutch_Part_
81,Site_of_encounter
82,Somerset_county
83,Staircase
84,Subcontinent
85,Suwannee_County__FL
86,Svalbard
87,The_Sun
88,Tokelau
89,Towns_County__GA
90,Triton___satellite_of_Neptune
91,Tromelin_Island
92,Turks_and_Caicos_Islands
93,Union_County__FL
94,United_States_Minor_Outlying_Islands
95,Unknown_GENC
96,US_County
97,Utah
98,Vega_Baja_Municipio__PR
99,Wabash_County__IN
100,Wake_Island
101,West_Virginia
102,Western_United_States_Census_Region
103,Winnebago_County__IL
104,Alameda_County__CA
105,Anderson_County__TX
106,Arkansas_County__AR
107,Auglaize_County__OH
108,Baltimore_County__MD
109,Barnstable_County__MA
110,Bay_County__FL
111,Bexar_County__TX
112,Big_Stone_County__MN
113,Bronx_County__NY
114,Broward_County__FL
115,Cabell_County__WV
116,Cameron_County__TX
117,Camp_County__TX
118,Centre_County__PA
119,Chautauqua_County__KS
120,Cherokee_County__TX
121,Cleveland_County__OK
122,Collier_County__FL
123,Colorado_County__TX
124,Contra_Costa_County__CA
125,Cook_County__IL
126,Cortland_County__NY
127,Cross_County__AR
128,Cuyahoga_County__OH
129,Dade_County__GA
130,Dallas_County__AL
131,Dane_County__WI
132,Davidson_County__NC
133,Delta_County__CO
134,Denver_County__CO
135,Dickenson_County__VA
136,Dona_Ana_County__NM
137,DuPage_County__IL
138,Durham_County__NC
139,Duval_County__TX
140,Early_County__GA
141,El_Paso_County__CO
142,Erie_County__OH
143,Essex_County__MA
144,Floyd_County__GA
145,Foster_County__ND
146,Franklin_County__MA
147,Fresno_County__CA
148,Frontier_County__NE
149,Fulton_County__NY
150,Galveston_County__TX
151,George_County__MS
152,Gonzales_County__TX
153,Grand_County__UT
154,Greenville_County__SC
155,Guilford_County__NC
156,Hamilton_County__IL
157,Harnett_County__NC
158,Harris_County__GA
159,Hendry_County__FL
160,Hennepin_County__MN
161,Hidalgo_County__NM
162,Hillsborough_County__NH
163,Hot_Springs_County__WY
164,Indiana_County__PA
165,Iowa_County__IA
166,Island_County__WA
167,Jackson_County__OR
168,Jefferson_County__IN
169,Jersey_County__IL
170,Jones_County__GA
171,Kern_County__CA
172,King_County__WA
173,Kings_County__NY
174,Lexington_County__SC
175,Long_County__GA
176,Los_Angeles_County__CA
177,Macon_County__GA
178,Major_County__OK
179,Maricopa_County__AZ
180,Marin_County__CA
181,Maverick_County__TX
182,Mayo_County__Republic_of_Ireland
183,Mesa_County__CO
184,Miami_Dade_County__FL
185,Milwaukee_County__WI
186,Mississippi_County__AR
187,Monroe_County__FL
188,Morgan_County__GA
189,Multnomah_County__OR
190,Muskegon_County__MI
191,Nassau_County__NY
192,Natrona_County__WY
193,New_Haven_County__CT
194,New_York_County__NY
195,Oakland_County__MI
196,Ohio_County__IN
197,Olmsted_County__MN
198,Orange_County__CA
199,Oregon_County__MO
200,Palm_Beach_County__FL
201,Paulding_County__GA
202,Perry_County__AR
203,Person_County__NC
204,Philadelphia_County__PA
