,name
0,Child_Protective_Services
1,Cost_Control
2,Dental_Medicaid_Program
3,disability_payment
4,Disaster_Planning
5,Drug_Approval
6,drug_legalization
7,Economic_Policies
8,Education_Projects
9,Environmental_Policy
10,Financing__Government
11,Food_Assistance_Programs
12,government_health_service
13,Health_Care_Reform
14,Health_systems
15,Illicit_Drug_Public_Policy
16,Law_Enforcement
17,Medicaid
18,Medicare
19,Premarital_Examinations
20,public_health_care_financing
21,Smoking_Ban
22,Universal_Health_Care
23,Womens_Rights
24,Worker_Compensation
