,name
0,Alcohol_abuse_prevention
1,Alcohol_consumption_counseling
2,Alcohol_consumption_screening
3,Anoscopy
4,Antenatalpostnatal_care
5,Anti_Smoking_Campaign
6,Assessment__Health_Behavior
7,Assessment_for_risk_of_cancer
8,Assessment_of_adverse_drug_reactions
9,Assessment_of_dementia
10,Assessment_of_lifestyle
11,assessment_of_mood
12,Assessment_of_sexual_behavior
13,Assessment_of_susceptibility_for_infection
14,Blood_pressure_determination
15,Blood_pressure_monitoring
16,Body_temperature_measurement
17,Bone_marrow_aspiration_procedure
18,Bowel_assessment__procedure_
19,Bowel_care_procedure
20,Breast_Cancer_Detection_Research
21,Breast_feeding_education
22,Breastfeeding_support
23,Cancer_Detection
24,Cancer_education
25,Cancer_Intervention
26,Cardiac_assessment
27,Cardiac_care
28,Care_for_Medication_Side_Effects
29,Care_given_by_nurses
30,Cervical_cytology_education
31,Child_care_education
32,Child_care_management
33,Child_Welfare
34,chlamydia_treatment
35,Chronic_disease_process_education
36,Colposcopy_of_cervix
37,Colposcopy_of_vulva
38,Communicable_Disease_Control
39,Community_Clinical_Oncology_Program
40,Community_Health_Care
41,Community_Health_Services
42,Community_Pharmacy_Services
43,condom_distribution
44,Consent_Type___Biliary_Drainage
45,Consent_Type___Cholesterol_Screening
46,Consent_Type___Colonoscopy
47,Consent_Type___Coronary_Angiography
48,Consent_Type___Hysterosalpingogram
49,Consent_Type___Laser_treatment
50,Consent_Type___Lumbar_Puncture
51,Consent_Type___Myelogram
52,Consent_Type___Needle_Biopsy
53,Consent_Type___Sigmoidoscopy
54,Contraception_care_management
55,Counseling_for_sexually_transmitted_disease
56,Dermatology_consultation_and_report
57,Diabetic_care
58,Dialysis_care
59,Diarrhea_care
60,Drug_abuse_prevention
61,Drug_harm_reduction_program
62,Early_Detection_of_Cancer
63,Edema_control_assessment
64,educated_Patient
65,examination_of_cranial_nerves
66,Examination_of_heart
67,examination_of_parotid_glands
68,Exercise_education
69,Eye_care__regimetherapy_
70,Gargling__function_
71,Genitourinary_assessment
72,Genitourinary_disease_screening
73,Geriatric_Assessment
74,Gestational_Weeks_Assessment
75,Glucose_measurement_by_monitoring_device
76,Gluten_Free_Diet
77,gonorrhea_treatment
78,Gynecological_examination
79,Hearing_assessment
80,Immunization_status_screening
81,Index_Colonoscopy
82,Infant_feeding_education
83,Infection_control_management
84,Infection_precautions_surveillance
85,Infectious_Disease_Contact_Tracing
86,Infectious_disease_prevention__control
87,Influenza_immunization_prescribed
88,Intraoperative_Nerve_Monitoring
89,Intravenous_care_management
90,Iodine_Administration___Consent_Type
91,Maternal_Child_Health_Services
92,Maternal_Health_Services
93,Measurement_of_body_mass_index
94,Measuring_blood_glucose_levels
95,Medicine__African_Traditional
96,Medicine__Mongolian_Traditional
97,Mental_health_assessment
98,Mental_health_care
99,Mental_Health_Services
100,Metabolic_procedure
101,Mouth_care_management
102,Neurological_screening
103,Nutrition_management
104,Nutritional_Intervention
105,Obstetrics_service
106,Oral_Examination
107,Pediatric_Intervention_or_Procedure
108,Periodontal_evaluation
109,Peritoneal_lavage
110,Postnatal_Care
111,Premarital_counseling
112,Prenatal_care
113,Prenatal_care_education
114,Prenatal_initial_visit
115,Prenatal_visit__regimetherapy_
116,Prepaid_Health_Plans
117,pressure_on_artery
118,Prevention_of_unwanted_pregnancy
119,prison_based_health_service
120,Psychosocial_care__regimetherapy_
121,Psychosocial_counseling_about_cancer
122,Puncture_of_artery__procedure_
123,Radiation_therapy_management
124,Radiologic_Procedure___Consent_Type
125,Referral_to_gastroenterology_service
126,Referral_to_gynecology_service
127,Referral_to_neurosurgical_service
128,Referral_to_neurology_service
129,Referral_to_obstetrics_service
130,Referral_to_ophthalmology_service
131,Referral_to_orthopedic_service
132,Referral_to_psychiatry_service
133,Referred_to_dentist
134,Reproductive_Health_Services
135,Respiratory_care_assessment
136,Routine_care_of_newborn
137,Sex_Counseling
138,Sexual_behavior_analysis
139,Sleep_management
140,Smoking_assessment
141,Smoking_Prevention
142,Spinal_Puncture
143,Spiritual_assessment
144,Spiritual_support
145,Stress_control_assessment
146,Substance_abuse_prevention
147,Swallow_Evaluation
148,Telemedicine
149,Tobacco_abuse_prevention
150,Tuberculosis_screening
151,Vaccination_Awareness
152,Vaccination_Campaign
153,Vaccination_Coverage
154,Vaccination_Promotion
155,Water_Birth
156,Womens_Health_Services
