,name
0,AE_synonym_fragment
1,Allergens
2,Alloantigens
3,antibody_antigen
4,Antigens
5,Antigens__Heterophile
6,Antigens_by_type
7,Autoantigens
8,Blood_group_antigen_A
9,Blood_group_antigen_p
10,Blood_Group_Antigens
11,C_little_o_super_little_a_Ag
12,C_little_s_super_little_a_Ag
13,CD_Antigens
14,d_antibody
15,Differentiation_Antigens
16,Entire_immunoglobulin
17,Epitopes
18,Flinders_medical_centre_7_marker
19,Food_allergen
20,Food_Allergy_Allergen
21,Haptens
22,Immune_Associated_Antigens
23,Immunodominant_Epitopes
24,Immunoglobulin_Allotypes
25,Immunoglobulin_Fragments
26,Immunologic_Factors
27,Immunostimulating_conjugate__antigen_
28,Incomplete_adjuvant
29,Insoluble_immune_complex
30,Isoantibodies
31,Isohemagglutinins
32,little_c
33,little_e
34,little_f
35,little_i__1_Ag
36,little_i_1_subtype
37,little_i_2_subtype
38,ittle_i_NOS
39,little_k
40,little_p
41,little_s
42,Neoantigen
43,neuronal
44,Protein_antigen
45,serine_repeat_antigen__Plasmodium
46,Specific_antigen
47,Transfer_Factor
48,U_ANTIGEN
49,U_small_ribonucleoprotein_antibody
50,A_variant_NOS_Ag
