,name
0,Alcohol_Abstinence
1,Alcohol_consumption
2,Alcoholic_beverage_heavy_drinker
3,Athletic_Performance
4,autosexual_behavior
5,Binge_Drinking
6,body_art
7,Body_Image_Dissatisfaction
8,Body_Piercing
9,Breast_Feeding__Exclusive
10,Cannabis_Smoking
11,Cessation_of_smoking
12,Cigarette_smoking_behavior
13,Cocaine_Smoking
14,condom_use
15,Contraceptive_Usage
16,Dental_Hygiene
17,Directed_Tissue_Donation
18,Eating_habit
19,Eroticism
20,Extramarital_Relations
21,Extramarital_Sex_Behavior
22,Female_Homosexuality
23,Finding_relating_to_tobacco_chewing
24,First_Intercourse
25,Food_Habits
26,Food_Selection
27,gambler
28,Health_seeking_behavior
29,Homosexual_Contact
30,intravenous_drug_use
31,irritable_aggressive_behavior
32,Marijuana_Smoking
33,Medication_Compliance
34,Milk_intake
35,moderate_drinking
36,moderate_or_no_alcohol_use
37,Nail_Biting
38,Normal_sexual_development__NOS
39,Numb__emotional_response_
40,Oral_behaviors
41,Oral_Sex
42,Organ_Donation_choice
43,Partner_Communication
44,Pattern_of_drinking_alcohol
45,Personal_autonomy_behavior
46,pimping
47,Premarital_Sex_Behavior
48,Refusal_of_Treatment
49,religious_adherence
50,Resilience__Psychological
51,Self_control_as_a_personality_trait
52,Self_Injurious_Behavior
53,Sexual_Abstinence
54,Sexual_Contact
55,Showing_emotion
56,Skin_tanning
57,Smoking
58,Smoking_Behaviors
59,Smoking_Habit
60,sperm_donation
61,steroid_use
62,swimming_behavior
63,talkative
64,Tissue_Donation
65,Tobacco_smoking_behavior
66,Tobacco_use
67,Tobacco_Use_Cessation
68,transvestite
69,Truancy
70,Underage_Drinking
71,Vaccination_Refusal
72,Water_Pipe_Smoking
