,name
0,Abrasion
1,Accident_caused_by_flooding
2,Accident_caused_by_tornado
3,Accident_while_engaged_in_work_related_activity
4,Accidental_exposure_to_potentially_harmful_entity
5,Accidental_Falls
6,Accidental_mechanical_suffocation_by_Cave_in_NOS
7,acid_ingestion
8,Assault
9,Avulsed_wound
10,Barotrauma_of_descent
11,Battery__assault_
12,Blast_Injuries
13,Blow__accident
14,bucking
15,burrow_wound
16,Chemical_injury
17,Chrysocoma_tenuifolia_poisoning
18,Collision
19,Complete_rupture
20,Contact_with_machinery
21,Critical_incident
22,Crushing_injury
23,Cut_of_back
24,Decapitation
25,Deep_wound_injury
26,Degloving_Injuries
27,Direct_trauma
28,Dislocation__complete
29,Dislocations
30,Domestic_Injury
31,Drowning
32,Drug_Overdose
33,Effects_of_low_temperature
34,Effects_of_occupational_exposure_to_radiation
35,Environmental_Exposure
36,Exhaustion_due_to_excessive_exertion
37,Extravasation_of_drug
38,Fat_burn
39,Foreign_Bodies
40,Fracture
41,Fracture__impacted
42,GENERAL_INJURIES
43,Heat_exposure
44,Heat_Stress_Disorders
45,Homicide__injury_
46,Incised_wound
47,Industrial_trauma
48,Inhalation_Exposure
49,injury_at_work
50,Injury_by_mechanism
51,Injury_caused_by_vibration
52,Injury_due_to_exposure_to_external_cause
53,Injury_due_to_motor_vehicle_accident
54,Injury_due_to_terrorism
55,Injury_due_to_tidal_wave
56,Injury_due_to_typhoon
57,Injury_of_globe_of_eye
58,Injury_wounds
59,Intentional_drug_overdose
60,Intentional_injury
61,Intentional_Trauma
62,Intraoperative_Injury
63,Joint_Subluxations
64,knocked_out
65,Laceration
66,Legal_intervention
67,Major_injury
68,Maternal_Exposure
69,Maternal_injury
70,Microtrauma__Physical
71,Military_operations__unspecified
72,Minor_injury
73,multiple_Strains
74,Multiple_Trauma
75,Muscle_strain
76,mutilated
77,Needle_track
78,Nitrogen_trichloride_poisoning
79,Nosocomial_condition
80,Occupational_Exposure
81,Occupational_Injuries
82,Off_Label_Treatment
83,Old_injury
84,Open_wound_of_eyeball
85,Other_accidents
86,Other_restorative_surgery_causing_abnormal_patient_reaction__or_later_complication__without_mention_of_misadventure_at_time_of_operation
87,over_exposure
88,Overlaying_accident
89,patient_fall
90,Physical_trauma
91,Pinched
92,Poisoning
93,Poisoning__injury
94,Poisoning_syndrome_in_animal
95,Pregnancy_exposure
96,prevention_harmful_effects
97,Pulmonary_decompression_injury
98,Radiation_injury
99,Recent_injury
100,Rupture
101,Scratch_marks
102,Serious_Injury
103,Serotonin_Syndrome
104,Severe_multiple_injuries
105,Shot__injury_
106,Solvents__toxic_effects
107,Splinter_foreign_body
108,Splinter_in_skin
109,Sting_by_sting_ray
110,Sting_Injury
111,Strain_of_calf_muscle
112,Strain_of_neck_muscle
113,Stress_Fractures
114,Submersion
115,Superficial_abrasion
116,Surgical_wound
117,Tissue_Breakdown
118,Tissue_damage
119,Toxic_effect
120,Toxic_effect_of_venom
121,toxic_ingestion
122,Trachymene_species_poisoning
123,Traffic_accidents
124,Trauma
125,TRAUMAINJURY_PROBLEM
126,Traumatic_ANDOR_non_traumatic_injury
127,Traumatic_Brain_Injury
128,Traumatic_implants
129,Traumatic_injection_site
130,Traumatic_injury
131,Type_of_injury
132,Underdose__unintentional_
133,Vibration_syndrome
134,Whiplash_Injuries
135,work_related_injuries
136,Wound_Complication
137,Wounds_and_Injuries
