,name
0,Abnormal_behavior
1,Abnormal_mental_state
2,Active_drug_dependence
3,Acute_alcoholic_intoxication
4,Addictive_Behavior
5,Adjustment_Disorders
6,Aggressive_reaction
7,Alcohol_or_Other_Drugs_use
8,Algophobia
9,Anxiety
10,Apathy
11,As_If_Personality
12,attachment_disorders
13,Attention_seeking_behavior
14,Behavior_Disorders
15,Behavioral_syndrome_associated_with_physiological_disturbance_and_physical_factors
16,Binge_eating_disorder
17,Breath_holding_with_temper
18,Burnout__Psychological
19,Butting
20,character_change
21,Childhood_disinhibited_attachment_disorder
22,Chronic_drug_abuse
23,Chronic_stress_disorder
24,Clumsiness___motor_delay
25,Cognitive_changes
26,Combat_Disorders
27,Combat_Fatigue
28,combative
29,Compulsive_neurosis
30,Compulsive_Personality_Disorder
31,Confabulation
32,Confusion
33,Delinquent_behavior
34,Disruptive__Impulse_Control__and_Conduct_Disorders
35,Disruptive_Behavior_Disorder
36,Dissociative_disorder
37,Dissociative_Identity_Disorder
38,dissociative_states
39,Drug_habituation
40,Drug_related_disorder
41,Drug_usage
42,early_behavior_problem
43,Elimination_Disorders
44,Executive_dysfunction
45,Explosive_personality_disorder
46,Expressed_Emotion
47,Factitious_Disorders
48,false_sensation
49,Fetishism__Psychiatric
50,Firesetting_Behavior
51,forgetting
52,Gambling__Pathological
53,Global_developmental_delay
54,Hallucinogen_Persisting_Perception_Disorder
55,hazardous_AOD_use
56,heavy_AOD_use
57,Historical_Trauma
58,Hyperactive_behavior
59,Hysteria
60,Identity_Problem
61,idiot_savant
62,Illusions
63,Impaired_judgement
64,Impulsive_Behavior
65,Inappropriate_behavior
66,Inattention
67,Incoherent_thinking
68,Inhalant_Abuse
69,Introverted_personality_disorder
70,Irrational_thoughts
71,Latah
72,Latency_of_speech_response
73,MAJOR_AFFECTIVE_DISORDER_2
74,Maladaptive_behavior_associated_with_physical_illness
75,maladjustment
76,Marijuana_Abuse
77,Mental_blocking
78,Mental_condensation
79,Mental_Depression
80,Mental_Suffering
81,Mentally_ill_chemical_abuse
82,Mood_swings
83,nervous_disorder
84,NEUROTICISM
85,Nihilistic_delusion
86,Nonorganic_psychosis
87,Obsessions
88,Obsessive_compulsive_behavior
89,Oppositional_Defiant_Disorder
90,Organic_delusional_disorder
91,Orgasmic_Disorder
92,OTHER_MENTAL_DISORDERS
93,Otherunspecified_psychosis
94,Parasuicide
95,patient_abuse
96,Perseveration
97,personality_problem
98,Pica_Disease
99,Possessed
100,Postoperative_cognitive_dysfunction
101,Problematic_behavior_in_children
102,Psychiatric_problem
103,relationship__disorder
104,Relative_Energy_Deficiency_in_Sport
105,resonance_disorder
106,Restrictive_behavior
107,Ritual_compulsion
108,Rumination_Disorders
109,SCHIZOPHRENIA_1__disorder_
110,SCHIZOPHRENIA_7__disorder_
111,SCHIZOPHRENIA_8__disorder_
112,Sexual_aggression
113,Sexual_deviations_or_disorders
114,Shared_Paranoid_Disorder
115,Social_disinhibition
116,Somatization
117,Somatoform_pain_disorder
118,Specific_delays_in_development
119,Spraying_behavior
120,Stalking__behavior_
121,Stress__Psychological
122,Stress_Disorders__Traumatic
123,stress_related_disorder
124,Stupor
125,Substance_Related_Disorders
126,Substance_Use_Disorders
127,Tension
128,Tocophobia
129,Transcortical_sensory_dysphasia
130,Trichotillomania
131,Victimizing_others
132,violent
133,Withdrawal__dysfunction_
