,name
0,Anaplasia
1,Blast_Phase
2,Cancer_Other
3,Direct_Extension
4,Histiocytosis
5,Increased_Cellularity_Present
6,mass_lesion
7,Neoplasms__Unknown_Primary
8,Pad_Mass
9,ROSE_Cluster_2
10,ROSE_Cluster_4
11,ROSE_Cluster_6
12,ROSE_Cluster_8
13,Simple_Mouse_MIN_NOS
14,Single_tumor
15,Skin_tag
16,Skin_tagMultiple_Endocrine_Neoplasia_Type_1
17,Stage_IV_Uveal_Melanoma_AJCC_v7
18,Stage_IIA_Cervical_Cancer_AJCC_v8
19,Multiple_Endocrine_Neoplasia
20,Adenomatous_Polyposis_Coli
21,Neoplasm_Metastasis
22,Tumor_Cell_Invasion
23,Advanced_Malignant_Neoplasm
24,Pathologic_Stage_IIB_Gastric_Cancer_AJCC_v8
25,Tumor_Progression
26,Invasive_Malignant_Neoplasm
27,Stage_IIIB_Bladder_Cancer_AJCC_v8
28,Precursor_B_cell_lymphoblastic_leukemia
29,Anaplastic_Sarcoma_of_the_Kidney
30,Acidophil_Stem_Cell_Pituitary_Gland_Adenoma
31,Acute_myelomonocytic_leukemia_with_abnormal_eosinophils
32,Adamantinous_Craniopharyngioma
33,ADRENOCORTICAL_CARCINOMA__HEREDITARY
34,AJCC_Grade_1_Sarcoma
35,Alveolar_rhabdomyosarcoma
36,Anal_Intraepithelial_Neoplasia_2
37,Anal_Intraepithelial_Neoplasia_3
38,Angiogenic_Switch
39,Astler_Coller_B1_Rectal_Carcinoma
40,Atypical_Adenomatous_Lung_Hyperplasia
41,Atypical_Lobular_Breast_Hyperplasia
42,Atypical_Teratoid_Rhabdoid_Tumor
43,Body_Cavity_Primary_Effusion_Lymphoma
44,body_systemsite_cancer
45,C_cell_tumor
46,Calcifying_Fibrous_Pseudotumor
47,Cancer_and_Pregnancy
48,cancer_recurrence
49,Cancer_Relapse
50,Cancer_Remission
51,Cancers_progression
52,Carcinogenesis
53,Radiation Tumorigenesis
54,Carcinoid_Tumor
55,Carcinoid_tumor_no_ICD_O_subtype
56,Carcinoid_tumor_of_lung
57,Carcinoma
58,Carcinoma__Skin_Appendage
59,Carcinoma_of_unknown_primary
60,Carcinoma_simplex
61,Castration_Sensitive_Prostate_Carcinoma
62,category
63,Cellular_Pleomorphic_Adenoma
64,Childhood_Large_Cell_Lymphoma
65,colon_growth
66,Columnar_Cell_Hyperplasia_of_the_Breast
67,Condition__Preneoplastic
68,Congenital_Mesoblastic_Nephroma
69,Desmoplastic_infantile_ganglioglioma
70,Direct_Extension
71,Disseminated_Malignant_Neoplasm
72,Double_Hit_Lymphoma
73,Ductal_Carcinoma_In_Situ_with_Microinvasion
74,Dysembryoplastic_neuroepithelial_tumor
75,Embryonal_Rhabdomyosarcoma
76,Environment_Related_Malignant_Neoplasm
77,Esophageal_Squamous_Intraepithelial_Neoplasia
78,Extra_osseous_Ewings_sarcoma
79,Extracavitary_Primary_Effusion_Lymphoma
80,Extracranial_Solid_Neoplasm
81,Extragastrointestinal_Gastrointestinal_Stromal_Tumor
82,Extranodal_Extension
83,Extranodal_Tumor_Deposits
84,Extraskeletal_Myxoid_Chondrosarcoma
85,Familial_Atypical_Mole_Melanoma_Syndrome
86,Familial_multiple_trichoepitheliomata
87,Flat_Ductal_Epithelial_Atypia_of_the_Breast
