,name
0,Acid_mantle
1,Airway_resistance
2,alloimmunity
3,Bioaccumulation
4,Biomagnification
5,Blinking
6,blood
7,Blood_Physiological_Phenomena
8,brain_model
9,chemical_neurotransmission
10,Chemoreceptor_function
11,Clonal_Deletion
12,Dark_Adaptation
13,Delta_Rhythm
14,Developmental_process
15,Esthesia
16,Evoked_Potentials
17,Evoked_Potentials__Motor
18,External_inhibition
19,Facilitation
20,Histogenic_Process
21,Immune_absorption
22,Immune_adsorption
23,Increased_Coagulation_Activity
24,inferior_olive_development
25,Inhibitory_potential
26,intact_brain
27,Isometric_Contraction
28,Long_Term_Synaptic_Depression
29,Lung_Development
30,Motor_potential_function
31,Muscle_action
32,Muscle_Development
33,Muscle_function
34,Muscle_innervation__function
35,Muscle_motor_unit_potential
36,Muscle_Strength
37,muscle_tissue_development
38,Myocardial_Contraction
39,Myoelectric_Complex__Migrating
40,N100_Evoked_Potentials
41,N200_Evoked_Potentials
42,Natural_regeneration
43,Nerve_potential
44,nerve_supply
45,Nerve_transmission_block
46,neurochemistry
47,Neuronal_Hyperexcitability
48,P200_Evoked_Potentials
49,Passive_Range_of_Motion_function
50,pattern_formation_during_regionalization
51,Performance_discrimination
52,Physiologic_disinhibition
53,Piloerection
54,Potentials__Event_Related
55,Primary_healing
56,primary_lung_bud_formation
57,Primordium
58,reception
59,Reflex_action
60,Renal_Plasma_Flow__Effective
61,respiratory_oxygenation
62,Secondary_healing
63,Sensory_Process
64,Sex_Differentiation
65,sexual_dimorphism__cellular_
66,Skin_Physiological_Phenomena
67,Somatosensory_Evoked_Potentials
68,Stabilizer___function
69,striated_muscle_contraction
70,Subglottic_pressure
71,Summation__function_
72,Synaptic_Pruning
73,synaptogenesis
74,Synergist
75,systemic_blood_circulation
76,Threshold_perception
77,Threshold_reaction
78,Tissue_Growth
79,Tissue_Specificity
80,Tissue_Survival
81,Tolerance_Induction_in_Solid_Organ_Transplantation
82,Tooth_eruption_function
83,Topognosis
84,Touch_sensation
85,Tubular_secretion
86,Vascular_blood_supply
87,Visual_Accommodation
88,Vocal_articulation
89,Vocal_parameter
90,Work_of_Breathing
