,name
0,458L
1,A_2_C
2,A_130A
3,A1_226
4,AB192_compound
5,ABT518
6,acetoxymethylphenylnitrosamine
7,Adapt__substance_
8,adjuvant_system_01
9,agrimonolide_6_O_glucopyranoside
10,ALIS_409
11,antibiotic_I_11
12,Antibiotic_U_43120
13,araban
14,EM_16
15,emu_oil
16,EP_045
17,Esapent
18,ethylenebis_isothiocyanate_
19,exopolysaccharide__Pseudomonas_marginalis
20,glean
21,granulose
22,histaminol
23,ICG_001
24,LCL30
25,lipid_associated_sialic_acid
26,P297
27,P503
28,pyridinium_3_methoxyestra_1_3_5_10__trien_6_yl_sulfate
29,Quil_A
30,Relate___vinyl_resin
31,S_2__complex
32,Sesquiterpenes__Eudesmane
33,SHIMS
34,Silvan
35,Small_Molecule
36,spiropentaneacetic_acid
37,t_butyloxycarbonyl_group
38,T34_toxin
39,Tars
40,TES_Tris_yolk_buffer
41,Total_Sugar
42,trehalose_dicarboxylic_acid_bis__N_N_dioctadecylamide_
43,Unilamellar_Vesicles
44,virol_A
45,W_12__Calmodulin_Antagonist_
46,W13__Calmodulin_Antagonist_
47,X_34_fluorescent_dye
48,GAG__Organic_Chemical_
49, 
