,name
1,Ability
2,Ability_to_concentrate
3,Academic_Doctorate_Degree_Completion
4,Age
5,Age_Months
6,Ambiguous___Administrative_Gender
7,Associate_Academic_Degree_Completion
8,Attitude___finding
9,Barking__observable_entity_
10,Body_Temperature
11,body_volume
12,Body_Weight
13,Body_weight_measure
14,Body_Weight_Trajectory
15,Cell_feature
16,Cell_phenotype
17,Cell_Shape
18,Charge__electrical_
19,children
20,Chimerism
21,Conception_Age
22,Corrected_Age
23,Dietary_Requirements
24,Diploidy
25,Drug_Collateral_Sensitivity
26,Dry_body_weight__observable_entity_
27,Ecotype
28,Electric_Organ
29,electrical
30,Entire_male
31,Exposure_as_Collected_Laterality
32,Function_Axis
33,Functional_performance
34,Gender
35,General_Equivalency_Diploma_Completion
36,Genetic_Background
37,Genetic_Heterogeneity
38,Genetic_Predisposition_to_Disease
39,genetic_trait
40,Genogroup
41,Genotype
42,Genotypic_Sex
43,growth__children_
44,HapMap
45,Height
46,Home_School_Completion
47,Intersex
48,Intolerance___biological_effect_of_chemicals
49,Laboratory_observation_of_character
50,Life_event_observable
51,life_history
52,lower_case_k__phenotype
53,Mosaicism
54,Not_High_School_Graduate
55,ocular_sphere
56,Other_Personal_Medical_History
57,Personal_appearance
58,Personal_Attribute
59,Personal_status
60,Phenotype
61,phenotype_genotype
62,Pigmentation
63,Predisposition___attribute
64,Response_process
65,Separated
66,sex
67,Somatotype
68,Total_Body_Length
69,Trait
70,Undifferentiated_Sex
71,virus_infection_mechanism
72,Weight_Bearing_state
73,XY_Genotype
74,Homozygote
75,Heterozygote
