,name
0,Acclimatization
1,Active_movement
2,Adaptation__Physiological
3,adhesion_of_symbiont_to_host
4,Aging
5,Aging_Related_Process
6,Animal_Nutritional_Physiological_Phenomena
7,animal_organ_regeneration
8,Bioenergetics
9,Biologic_Development
10,Biological_Absorption
11,Biological_Metamorphosis
12,Birth
13,Blastocyst_Implantation__natural
14,Breeding
15,Catabolism
16,Cessation_of_life
17,Changing_position
18,Chewing
19,Child_Development
20,Childbirth
21,Circulatory_Process
22,Climacteric
23,Conception
24,death_and_dying
25,defecation_rhythm
26,degradation_aspects
27,developmental_growth_involved_in_morphogenesis
28,Digestion
29,Drinking_function
30,Dying_Process
31,Egg_Laying
32,Equilibrium
33,ethanol_biosynthetic_process
34,Exertion
35,Expiration__function
36,female_sex_determination
37,Fertility
38,granulocyte_macrophage_colony_stimulating_factor_production
39,grasp
40,Growth
41,Growth_and_Development_function
42,hatching
43,Heat_Loss
44,Homeostatic_mechanism
45,Human_growth
46,Inspiration_function
47,intolerance_function
48,Labor__Childbirth_
49,Locomotion
50,Manipulating_function
51,mating
52,Metabolic_Biotransformation
53,Metabolic_Suppression
54,Metabolism
55,Morphogenesis
56,morphogenesis_of_a_branching_structure
57,motor_ability
58,Motor_Development
59,motor_processes
60,Motor_Skills
61,Movement
62,movement_in_host
63,Moving
64,Natural_Birth
65,negative_regulation_of_behavior
66,Non_human_parturition__function
67,Normal_labor
68,Normal_ventilation_perfusion_ratio
69,Nutrition_function
70,Orgasm
71,pathogen_associated_molecular_pattern_dependent_induction_by_symbiont_of_host_innate_immune_response
72,Pattern_Formation
73,Perceptual_motor_processes
74,phase_II_biotransformation
75,Physical_Exertion
76,Position_Sense
77,positive_regulation_of_growth
78,negative_regulation_of_growth
79,posterior_lateral_line_system_development
80,primary_growth
81,Reaching
82,recognition_of_host
83,Recovery___healing_process
84,regulation_of_growth
85,Reproduction
86,Reproductive_dehiscence
87,dehiscence
88,response_to_light
89,response_to_thyrotropin_releasing_hormone
90,Rut___male_seasonal_mating_period
91,Sensitization__observable_entity_
92,Sleep
93,Sleep_Stages
94,socially_cooperative_development
95,Somatic_sensation
96,Speech
97,spontaneous_AODD_remission
98,sweet_taste_perception
99,taxis_in_response_to_touch_stimulus
100,temperature_perception
101,Term_Birth
102,Thermogenesis
103,Throwing
104,Unknown_living_organism
105,Urination
106,Viral_Transduction
107,Vision
108,Voice
109,whole_body_drug_clearance
110,Wound_Healing
