,name
0,Abnormal_cardiac_conduction
1,Abnormal_degeneration
2,Abnormal_host_defense
3,Acute_Phase_Reaction
4,Acute_obstruction
5,Adverse_drug_interaction
6,Adverse_effects
7,Adverse_event
8,Adverse_medication_interaction_with_medication
9,Adverse_reaction_to_drug
10,Adverse_reactions
11,Bleeding_tendency
12,Blocked_catheter
13,Body_Fluid_Leakage
14,Body_fluid_retention
15,Cell_Invasion
16,Complication
17,Complication_due_to_immunization
18,Complication_of_delivery
19,Complication_of_dialysis
20,Complication_of_gastrostomy
21,Complication_of_hemodialysis
22,Complication_of_implant
23,Complication_of_infusion
24,Complication_of_injection
25,Complication_of_injury
26,Complication_of_intravascular_line
27,Complication_of_medical_care
28,Complication_of_other_surgical_procedures
29,Complication_of_the_puerperium
30,Complication_of_transplanted_liver
31,Complication_of_transplanted_lung
32,Complication_of_vaccination
33,Complications_of_pregnancy__childbirth_and_the_puerperium
34,Complications_of_stem_cell_transplant
35,Complications_of_treatment
36,Congenital_debility_of_fetus
37,Contraction__finding_
38,Dawn_phenomenon
39,Decreased_metabolic_requirement
40,Dehiscence
41,Dependent_edema
42,Diastasis
43,Direct_Transmission
44,Direct_disease_transmission
45,Disease_Progression
46,Disease_regression
47,Dissecting_hemorrhage
48,Disturbance_of_growth
49,Drug_Interactions
50,Drug_action_increased
51,Drug_effect_disorder
52,Dysbiosis
53,Dysmotility
54,Effects_of_chemotherapy
55,Effusion_of_blood
56,Embolism
57,Emergencies__DiseaseFinding_
58,Eruptions
59,Extravasation
60,Extrinsic_obstruction
61,FEMALE_LACTATION
62,Failed_induction_of_labor
63,Fatal_Outcome
64,Fetus_at_risk
65,Fluid_loss
66,Focal_hyperplasia
67,Focal_hypertrophy
68,Food_Drug_Interactions
69,Foreign_Body_Reaction
70,Functional_disorder
71,Graft_complications
72,Graft_failure
73,Graft_infection
74,Graft_reaction__NOS
75,Growth_acceleration
76,Growth_arrest
77,Histologic_Progression
78,Host_Tumor_Interaction
79,Hyaline_degeneration
80,Hyaline_membrane
81,Hyperintensity_of_cerebral_white_matter_on_MRI
82,Hypoplasia
83,Ill_defined_disease
84,Immune_Tolerance
85,Immunization_reaction
86,Impaired_health
87,Increased_metabolic_requirement
88,Indirect_Transmission
89,Infection
90,Infection_following_immunization
91,Infectious_Disease_Transmission__Horizontal
92,Infectious_sequelae_of_disorders
93,Infiltration
94,Inflammation
95,Intrauterine_Exposure
96,Intrinsic_obstruction
97,Lack_of_drug_action
98,Late_effect_of_medical_intervention
99,Late_effects_of_cerebrovascular_disease__alterations_of_sensations
100,Localized_degeneration
101,Lysis
102,Malacia
103,Mechanical_Detachment
104,Menstruation_Disturbances
105,Missed_labor
106,NOS___Drug_Interactions
107,Newborn_complication
108,Obstruction
109,Other_complications_of_pregnancy
110,Pathologic_Processes
111,Pathological_Dilatation
112,Pathology_processes
113,Permissiveness__Biological_Function
114,Postmortem_Changes
115,Postoperative_Complications
116,Postoperative_Residual_Curarization
117,Postoperative_cardiac_complication
118,Pregnancy_Complications
119,Primary_graft_failure
120,Problem_of_aging
121,Progressive_obstruction
122,Proliferation__morphologic_abnormality_
123,Pulmonary_Complication
124,Pulmonary_aspiration
125,Recurrence__disease_attribute_
126,Respiratory_complication
127,Secondary_hyperplasia
128,Sequela_of_disorder
129,Shock
130,Simple_partial_seizure_evolving_to_complex_partial_seizure_evolving_to_generalized_seizure
131,Skin_nodule
132,Stenosis
133,Tissue_Adhesions
134,Torsion__malposition_
135,Torus
136,Transfusion_Reaction
137,Transplanted_Organ_Complication
138,Vaccination_site_reactions__HT_
139,Vaccines_adverse_reaction
140,Vertical_Disease_Transmission
141,Viral_Shedding
142,black_spot
143,bleedinghemorrhage_nos
144,coexistent_disease
145,complication_of_disease
146,complication_of_transplant
147,concomitant_disease
148,disease_characteristic
149,disease_transmission
150,drug_mechanism
151,effect_increased
152,effusion
153,entry_into_host_cell
154,graft_loss
155,grafting_failure
156,host_cell_protein_synthesis_shutoff
157,hyperfunction
158,hypomotility
159,lead_line
160,male_lactation
161,metaplastic_cell_transformation
162,neurological_complication
163,physiologic_resolution
164,reaction_to_colouring
165,sequelae_aspects
166,treatment_error
