,name,site,list
0,alpha_Glucosidase_Inhibitors,c,['AGI']
1,Anti_Anxiety_Agents,c,['anti-agents']
2,Calcium_Channel_Blockers,c,['CCB']
3,Carbohydrate_Processing_Inhibitor,c,['CPIs']
4,Catha_edulis__substance_,c,['Gat']
5,Central_Nervous_System_Stimulants,c,"['Stimulants', 'stimulant']"
6,Contraceptives__Oral,c,['Pill']
7,DELIVER__Dietary_Supplement_,c,['DELIVER']
8,delta1_Dihydrotestosterone,c,['1-T']
9,ENO_fruit_salt__brand_name_,c,['eno']
10,Farnesyl_Transferase_Inhibitor,c,['FTI']
11,FLT3_Inhibitor_SKI_G_801,c,['G-801']
12,gallium_maltolate,c,['GaM']
13,Gamma_delta_Tocotrienol,c,['GDT']
14,herba_scutellaria_barbatae_preparation,c,['HSB']
15,high_protein_nutritional_supplements,c,['high protein Supplement']
16,HIV_Entry_Inhibitor,c,"['Cell Entry Inhibitor', 'Entry Inhibitor', 'Virus Entry Inhibitor']"
17,Ilex_paraguayensis_homeopathic_preparation,c,"['mates', 'mated']"
18,LGG_Lactobacillus_rhamnosus_GG,c,['LGG']
19,Membrane_Disrupting_Peptide_EP_100,c,['EP-100']
20,Neuraminidase_Inhibitor__EPC_,c,['NAI']
21,Nitric_Oxide_Synthase_Inhibitor,c,['synthase Inhibitor']
22,Oxygen_15_labeled_Oxygen,c,['O2-15']
23,PEG_PEI_cholesterol_Lipopolymer_encased_IL_12_DNA_Plasmid_Vector_GEN_1,c,['GEN-1']
24,Performance_Enhancing_Drugs,c,['Performance Enhancing Drugs']
25,Performance_Enhancing_Substances,c,['ergogenic']
26,PPE_Expressing_Nonreplicating_HSV_1_Based_Vector_NP2,c,['NP2']
27,Pressors,c,['pressor']
28,Prolinethiuramdisulfide,c,['PTDS']
29,Prostate_Health_Cocktail_Dietary_Supplement,c,['PHC']
30,Protein_Synthesis_Inhibitors,c,['translation Inhibitors']
31,Proton_Pump_Inhibitors,c,['PPI']
32,Purple_Grape_Juice,c,['PGJ']
