,name
0,Absolute_Ethanol_Solution
1,Adjuvant_Analgesic
2,Amino_Acid__EPC_
3,Anti_Infective_Agents
4,Anticarcinogenic_Agents
5,Ash_preparation
6,Basis
7,Biomarkers__Pharmacological
8,Biosimilars
9,Blood_Substitutes
10,Blood_derivative
11,Blood_product
12,CLEANSER
13,Controlled_Release_Preparations
14,Cryoprecipitate
15,Cryoprotective_Agents
16,Cytoprotective_agent
17,DIRECT_ACTING_ANTIVIRALS
18,Dedicated_Blood_Product_Donation
19,Depot_Preparations
20,Dermatologic_Agents
21,Drug_Combinations
22,Drug_Sample
23,Drugs__Essential
24,Drugs__Non_Prescription
25,Drugs__Orphan
26,Drugs_used_in_migraine_prophylaxis
27,Dyne_veterinary_drug
28,Enzyme_Inhibitor_Drugs
29,Enzyme_Inhibitors
30,Experimental_drug
31,Fertility_Agents
32,Finished_Pharmaceutical_Product
33,Fungal_product
34,Gene_Therapy_Agent
35,Gene_Transduction_Agent
36,Generic_Drugs
37,Hematologic_Agents
38,INVESTIGATIONAL_AGENTS
39,INVESTIGATIONAL_GENE_THERAPY
40,INVESTIGATIONAL_VACCINES
41,ISOLATE_COMPOUND
42,Inhalation_preparations
43,Injectables
44,Insect_Extract
45,Investigational_New_Drugs
46,Ionophores
47,Iron_in_various_other_combinations
48,Lubricant_Eye_Drops
49,Medicament
50,Mineral_supplements
51,Multidrug_Resistance_Modulator
52,NIGELLA_Extract
53,Neurological_drugs
54,New_medications
55,Next_Election
56,No_Data_re__Ingredient
57,Non_Nucleoside_Analog
58,Nosodes
59,OTHER_ANABOLIC_AGENTS_in_ATC
60,OTHER_DIURETICS_in_ATC
61,OTHER_NERVOUS_SYSTEM_DRUGS_in_ATC
62,Other_antidepressants_in_ATC
63,Other_antivirals_in_ATC
64,Other_blood_products_in_ATC
65,Other_central_nervous_system_stimulants
66,Other_drugs
67,Other_uterotonics_in_ATC
68,PH_3
69,PREVENT__product_
70,Pharmaceutical_Preparations
71,Pharmacologic_Substance
72,Piperine_Extract__Standardized_
73,Plant_Derived_Hematopoiesis_Enhancer_PG2
74,Plasma_Substitutes
75,Plasma_expander
76,Platelets_Product
77,Platinum_Antineoplastic_Compound
78,Prescription_Drugs
79,Process_Pharmacologic_Substance
80,Protective_Agents
81,Psychotropic_Drugs
82,Quad_Pill
83,Red_blood_cells__blood_product
84,Rehydration_Solutions
85,Replacement_preparation
86,Reproductive_Human_Cells__Tissues__and_Cellular_and_Tissue_Based_Products_from_Known_Donor_to_Directed_Recipient
87,Rose_extract
88,SENSORY_ORGAN_DRUGS
89,STAND_UP__product_
90,STONE_PROPHYLAXIS
91,Signal_Transduction_Inhibitor
92,Silicone_emollient_and_protective_products
93,Single_Donor_Plasma
94,Small_Interfering_RNA__EPC_
95,Soft_drug__NOS
96,Special_Care__pharmacologic_substance_
97,Subys_G_solution
98,Surfactant__EPC_
99,Sustained_Release_Preparations
100,Synthetic_Drugs
101,TERMINATOR_Veterinary_Product
102,TONICS
103,Therapeutic_agent__substance_
104,Timed_Release_Preparations
105,Tomato_preparation
106,VARIOUS_DRUG_CLASSES_IN_ATC
107,Veterinary_Drugs
108,Viral_Vector
109,Vitamin_supplementation
110,adsorbents
111,agonist_drug
112,antagonist_drug
113,cell_stimulant
114,channel_blockers
115,controlled_substance
116,covenant
117,cream_base
118,crystalloid_solutions
119,drug_values
120,electrolyte_solution
121,fletchers
122,intravenous_drug
123,legal_drug
124,lipine
125,menhaden_preparation
126,methylate
127,product
128,quantum
129,survive
130,therapeutic_protein
