,name
0,Abdominal_pain___cause_unknown
1,Abdominal_symptom
2,Abnormal_general_body_function
3,Abnormal_sensation
4,Absence_attacks
5,Ache
6,After_pains
7,Altered_Taste
8,Altered_sensation_of_skin
9,Associated_symptom
10,Asterixis
11,BODY_ACHE
12,Blackout___symptom
13,Blushing
14,Body_Temperature_Changes
15,Catch___Finding_of_sensory_dimension_of_pain
16,Clubbing
17,Clumsiness
18,Constitutional_Symptom
19,Cramping_sensation_quality
20,Depressed___symptom
21,Discharge__body_substance
22,Discomfort
23,Disorientation
24,Dull_pain
25,ENT_problem
26,Early_complication
27,Equilibration_disorder
28,Excitability
29,Exhaustion
30,Feeling_Cold
31,Feeling_Sick
32,Feeling_despair
33,Feeling_tense
34,Felt_faint
35,Fetal_sign
36,Fever_of_Unknown_Origin
37,Fluctuation
38,Fluid_disturbance
39,Flushing
40,General_symptom
41,General_symptoms_and_signs__R50_R69_
42,Generalized_aches_and_pains
43,Generalized_fatigue
44,Giving_way
45,Glare___eye_symptom
46,Globus_Sensation
47,Harsh_voice_quality
48,Hunger
49,Hyperkinesia__Generalized
50,Illness__finding_
51,Infusion_Related_Reaction
52,Injection_site_pain
53,Lasegue_test_response
54,Local_Reaction
55,Mass_of_body_region
56,Medically_Unexplained_Symptoms
57,Menstrual_spotting
58,Mobility_Limitation
59,Mobility_poor
60,Mouth_symptoms
61,Multiple_symptoms
62,Muscle_Rigidity
63,NOS___Involuntary_Movements
64,NOS___Sore_to_touch
65,No_Toxicity
66,Nonspecific_abdominal_symptom
67,Orthostasis
68,Other_malaise
69,Pain
70,Pain__Burning
71,Pain__Intractable
72,Painful_Paresthesias
73,Perceived_quality_of_life
74,Physical_Appearance__Body
75,Premenstrual_symptom
76,Primary_sign_and_symptom
77,Prodromal_Symptoms
78,Prodrome
79,Psychiatric_symptom
80,Psychological_symptom
81,Psychotic_symptom
82,Pyramidal_sign
83,Pyrexia_of_unknown_origin__excl_puerperal_
84,Recovery_of_Function
85,Respiration_intermittent
86,Rest_pain
87,Resting_Tremor
88,Retching
89,Rigor___Temperature_associated_observation
90,Secretion_Drainage
91,Seizures
92,Sensory_Change
93,Sensory_Discomfort
94,Sexual_symptom
95,Sexuality_related_problem
96,Shaking_of_hands
97,Signs_and_Symptoms
98,Signs_and_Symptoms__Respiratory
99,Single_organ_dysfunction
100,Skin_Manifestations
101,Skin_ache_syndrome
102,Skin_symptom
103,Skin_tenderness
104,Sore_to_touch
105,Staggering_gait
106,Stiffness
107,Stinging_Sensation
108,Symptom_of_foot
109,Symptoms
110,Symptoms_of_stress
111,Taste__Metallic
112,Toeing_in
113,Tumor_pain
114,Unresponsive_to_stimuli
115,Upper_Extremity_Paresis
116,Upper_motor_neuron_signs
117,Visual_symptoms
118,Weakness
119,Weight_symptom__finding_
120,analgesia_techniques
121,charmed
122,exercise_induced
123,finding
124,frequent_passing_of_stools
125,high_weight
126,irregular_bleeding
127,pain_aggravated
128,pain_during_injection
129,physical_symptom
130,positive_and_negative_symptoms
131,signs_and_symptoms_of_ill_defined_conditions
132,skin_damage
133,taste_sweet
134,vein_pain
135,walking_pain
136,weight_problem
