,name
0,A_Fibers
1,Adipose_Tissue___White__MMHCC_
2,Animal_tissue
3,Basal_lamina
4,Basal_lamina_of_choroid
5,Basement_membrane
6,Biopsy_sample
7,Body_Fluids_and_Substances
8,Body_tissue
9,Bone___Skull__MMHCC_
10,Bronchial_biopsy_sample
11,CNS__MMHCC_
12,CNS___Brain__MMHCC_
13,CNS___Brain___Brain_Stem__MMHCC_
14,CNS___Brain___Cerebellum__MMHCC_
15,CNS___Brain___CerebrumCortex__MMHCC_
16,CNS___Brain___Choroid_Plexus__MMHCC_
17,CNS___Brain___Hippocampus__MMHCC_
18,CNS___Brain___Hypothalamus__MMHCC_
19,CNS___Brain___Striatum__MMHCC_
20,CNS___Spinal_Cord__MMHCC_
21,Clone
22,Ear___Inner_Ear_Cochlea__MMHCC_
23,Ear___Outer_Ear_External__MMHCC_
24,Egg_white_structure
25,Elastic_Fibers
26,Endocrine_Pancreas___Islet_of_Langerhans__MMHCC_
27,Entire_body_tissue
28,Entire_transplanted_bone_marrow
29,Eye___Lens__MMHCC_
30,Eye___Retina__MMHCC_
31,Fascicle___nerve_fibers
32,Fetus_specimen
33,Fibrous_layer
34,Fibrous_tissue
35,Flexor_muscle
36,Fresh_Tissue
37,Fresh_tissue_specimen
38,Heart_valve_tissue_specimen
39,Human_tissue
40,Intestinal_Mucosa
41,Intestinal_Smooth_Muscle_Tissue
42,Intestine___Large_Intestine___Anus__MMHCC_
43,Intestine___Large_Intestine___Colon__MMHCC_
44,Intestine___Small_Intestine__MMHCC_
45,Isogeneic_graft
46,Kidney___Cortex___Glomerulus__MMHCC_
47,Kidney___Cortex___Renal_Tubule__MMHCC_
48,Leukocyte___Myelocyte__Granulocyte____Eosinophil__MMHCC_
49,Liver___Hepatocyte__MMHCC_
50,Marginal_Zone
51,Media_layer
52,Mouse_Adrenal_Gland
53,Mouse_Blood
54,Mouse_Embryonic_Fibroblast
55,Mouse_Female_Reproductive_System
56,Mouse_Intestine
57,Mouse_Kidney
58,Mouse_Lateral_Prostate_Gland
59,Mouse_Liver
60,Mouse_Lymph_Node
61,Mouse_Muscle
62,Mouse_Nervous_System
63,Mouse_Prostate_Gland
64,Mouse_Respiratory_System
65,Mouse_Skin
66,Mouse_Spleen
67,Mouse_Striated_Muscle
68,Mouse_Synovial_Membrane
69,Mouse_Urinary_System
70,Muscle___Striated__Skeletal____Diaphragm__MMHCC_
71,Organoids
72,Orthotopic_graft__qualifier_value_
73,Ovary___Follicle__MMHCC_
74,PNS__MMHCC_
75,Paraffin_Embedded_Tissue
76,Parenchymal_Tissue
77,Peripheral_Zone_of_the_Prostatic_Parenchyma
78,Pleural_Fluid__MMHCC_
79,Portion_of_heterogeneous_tissue
80,Postmortem_tissue_sample
81,Principal_tissue
82,Residual_Tissues
83,Salivary_Gland___Submandibular__MMHCC_
84,Skeletal_tissue
85,Skin___Dermis__MMHCC_
86,Skin___Epidermis__MMHCC_
87,Skin___Hair_Follicle__MMHCC_
88,Skin_layer
89,Skin_tissue
90,Stool__MMHCC_
91,Stratum_Basale
92,Thyroid_Gland__MMHCC_
93,Tissue_Grafts
94,Tissue__unspecified___SpecimenType
95,Tissue_fiber
96,Tissue_membrane
97,Tissue_metabolism
98,Tissue_section
99,Tissue_specific
100,Tissue_specimen
101,Transplanted_soft_tissues
102,Transplanted_tissue
103,Tumor_tissue_sample
104,Tunica_Media
105,Type_of_bone_marrow
106,Urine__MMHCC_
107,Uterus___Cervix__MMHCC_
108,Uterus___Endometrium__MMHCC_
109,Whole_portion_of_blood
110,biological_tissue
111,efflux_pump_complex
112,tunica
113,AS_virus
114,Animal_Viruses
115,Avian_enteric_calicivirus
116,Betaretrovirus
117,Border_disease_virus
118,Canine_enteric_calicivirus
119,Defective_Viruses
120,Densovirinae
121,Encephalitis_Virus__St__Louis
122,Enterobacteria_phage_1
123,Genetically_modified_virus
124,Genus__Coronavirus
125,HIV_genotype
126,H_1_parvovirus
127,Helper_Viruses
128,Herpesvirus_1__Cercopithecine
129,Human_enteric_calicivirus
130,Human_metapneumovirus_A2
131,Human_virus
132,IIIA__virus_
133,IL_12_expressing_HSV_1_NSC_733972
134,Infectious_Agent__Virus
135,Minute_Virus_of_Mice
136,Non_A__non_B_hepatitis_virus
137,Parvoviridae
138,Plant_Viruses
139,RT_parvovirus
140,Satellite_Viruses
141,Subgroup_A_Nepoviruses
142,Subgroup_B
143,Subgroup_C
144,Viral_Satellite_Organisms_and_Sequences
145,Virus
146,Viruses__Unclassified
147,adenovirus_type
148,recombinant_virus
149,unclassified_Poxviridae
150,virus_by_host
